Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-06-01,南投縣,120.959522,23.487614,467550,1,646.4,3187.6,4.3,4.3,100,3.1,240,10.6,240,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,2,646.2,3188.5,3.9,3.9,100,2.6,240,13.7,230,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,3,645.9,3186.7,3.9,3.9,100,4.8,250,13.2,250,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,4,645.9,3185.1,3.8,3.8,100,8.2,260,13.5,250,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,5,646.1,3189.8,3.4,3.4,100,2.5,240,14.3,270,0.0,0.0,...,0.0,30.0,0,0.0
2020-06-01,南投縣,120.959522,23.487614,467550,6,646.5,3195.0,5.0,5.0,100,2.9,250,13.8,270,0.0,0.0,0.4,0.08,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,7,646.9,3199.4,5.7,5.7,100,2.2,230,11.5,270,0.0,0.0,1.0,0.81,...,1,...
2020-06-01,南投縣,120.959522,23.487614,467550,8,647.3,3201.9,7.9,7.9,100,2.0,230,11.7,250,0.0,0.0,1.0,1.64,30.0,3,2.0
2020-06-01,南投縣,120.959522,23.487614,467550,9,647.5,3201.2,10.8,10.8,100,2.3,250,7.6,250,0.0,0.0,1.0,2.57,30.0,6,2.0
2020-06-01,南投縣,120.959522,23.487614,467550,10,647.5,3199.9,12.5,11.7,95,1.6,220,8.6,250,0.0,0.0,1.0,3.36,...,11,...
2020-06-01,南投縣,120.959522,23.487614,467550,11,647.5,3200.4,13.1,13.1,100,2.3,240,7.3,240,0.0,0.0,0.7,3.02,0.3,11,/
2020-06-01,南投縣,120.959522,23.487614,467550,12,647.4,3201.0,12.3,12.3,100,1.8,230,12.4,270,0.0,0.0,0.2,2.04,...,9,...
2020-06-01,南投縣,120.959522,23.487614,467550,13,646.8,3197.2,9.6,9.6,100,2.8,240,10.4,260,0.0,0.0,0.1,1.48,...,7,...
2020-06-01,南投縣,120.959522,23.487614,467550,14,646.4,3191.0,11.0,11.0,100,2.1,240,8.6,270,0.0,0.0,0.1,1.39,0.1,6,/
2020-06-01,南投縣,120.959522,23.487614,467550,15,645.9,3187.7,8.4,8.4,100,2.6,240,7.2,250,0.0,0.0,0.1,1.24,...,5,...
2020-06-01,南投縣,120.959522,23.487614,467550,16,645.7,3185.8,7.9,7.9,100,2.3,240,7.2,230,1.0,0.5,0.0,0.79,...,2,...
2020-06-01,南投縣,120.959522,23.487614,467550,17,645.7,3183.6,10.2,10.2,100,3.3,250,7.9,280,0.0,0.0,0.6,1.33,0.1,2,/
2020-06-01,南投縣,120.959522,23.487614,467550,18,645.9,3185.5,9.1,9.1,100,3.9,250,8.1,260,0.0,0.0,1.0,0.84,...,1,...
2020-06-01,南投縣,120.959522,23.487614,467550,19,646.2,3191.9,6.2,6.2,100,6.8,260,8.6,250,0.0,0.0,0.3,0.01,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,20,646.4,3193.1,5.2,5.2,100,7.8,260,9.5,240,0.0,0.0,...,0.0,30.0,0,0.0
2020-06-01,南投縣,120.959522,23.487614,467550,21,646.4,3189.9,5.0,5.0,100,9.9,250,10.8,250,0.0,0.0,...,0.0,30.0,0,0.0
2020-06-01,南投縣,120.959522,23.487614,467550,22,647.1,3197.2,4.7,4.7,100,7.7,250,10.6,250,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,23,646.9,3193.9,4.8,4.8,100,8.7,250,10.5,250,0.0,0.0,...,0.0,...,0,...
2020-06-01,南投縣,120.959522,23.487614,467550,24,646.8,3194.1,4.3,4.3,100,4.1,250,10.8,250,0.0,0.0,...,0.0,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,1,646.1,3188.4,4.2,4.2,100,4.1,250,11.3,250,0.0,0.0,...,0.0,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,2,645.6,3180.4,4.2,4.2,100,4.3,250,12.2,250,0.0,0.0,...,0.0,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,3,645.0,3175.9,4.2,4.2,100,5.4,240,11.7,240,0.0,0.0,...,0.0,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,4,645.2,3178.7,4.5,4.5,100,5.7,230,12.4,240,0.0,0.0,...,0.0,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,5,645.7,3182.5,4.3,4.3,100,5.2,240,11.1,250,0.0,0.0,...,0.0,30.0,0,0.0
2020-06-02,南投縣,120.959522,23.487614,467550,6,646.0,3186.6,5.2,5.2,100,4.1,240,10.4,240,0.0,0.0,0.5,0.08,...,0,...
2020-06-02,南投縣,120.959522,23.487614,467550,7,646.7,3197.0,6.8,6.8,100,2.4,260,10.0,250,0.0,0.0,1.0,0.87,...,1,...
2020-06-02,南投縣,120.959522,23.487614,467550,8,646.9,3197.4,9.6,8.7,94,2.1,230,6.5,270,0.0,0.0,1.0,1.91,30.0,3,0.0
2020-06-02,南投縣,120.959522,23.487614,467550,9,647.3,3200.7,11.4,9.4,87,1.1,180,5.3,210,0.0,0.0,1.0,2.76,30.0,7,0.0
